id,claim,claim_type
1,Paris is the capital of France.,FACTUAL
2,India became independent in 1947.,TEMPORAL
3,15 + 27 = 42.,NUMERIC
4,Mount Everest is the tallest mountain.,FACTUAL
5,AI is the greatest invention.,OPINION
6,This movie is fantastic.,OPINION
7,Paris is the capital of France.,FACTUAL
8,Paris is the capital of France.,FACTUAL
9,A triangle has 3 sides.,NUMERIC
10,AI is the greatest invention.,OPINION
11,AI is the greatest invention.,OPINION
12,This movie is fantastic.,OPINION
13,The Earth is 149.6 million km from the Sun.,NUMERIC
14,This movie is fantastic.,OPINION
15,Paris is the capital of France.,FACTUAL
16,If A>B and B>C then A>C.,LOGICAL
17,India became independent in 1947.,TEMPORAL
18,The Earth is 149.6 million km from the Sun.,NUMERIC
19,Paris is the capital of France.,FACTUAL
20,All mammals are animals.,LOGICAL
21,The Olympics were held in Tokyo in 2021.,TEMPORAL
22,This movie is fantastic.,OPINION
23,Mount Everest is the tallest mountain.,FACTUAL
24,Every square is a rectangle.,LOGICAL
25,Water freezes at 0°C.,FACTUAL
26,Mount Everest is the tallest mountain.,FACTUAL
27,The company was founded in 2010.,TEMPORAL
28,This movie is fantastic.,OPINION
29,AI is the greatest invention.,OPINION
30,Paris is the capital of France.,FACTUAL
31,The Earth is 149.6 million km from the Sun.,NUMERIC
32,Paris is the capital of France.,FACTUAL
33,Water freezes at 0°C.,FACTUAL
34,The Olympics were held in Tokyo in 2021.,TEMPORAL
35,India became independent in 1947.,TEMPORAL
36,The Olympics were held in Tokyo in 2021.,TEMPORAL
37,A triangle has 3 sides.,NUMERIC
38,The company was founded in 2010.,TEMPORAL
39,Mount Everest is the tallest mountain.,FACTUAL
40,A triangle has 3 sides.,NUMERIC
41,15 + 27 = 42.,NUMERIC
42,If A>B and B>C then A>C.,LOGICAL
43,The company was founded in 2010.,TEMPORAL
44,AI is the greatest invention.,OPINION
45,India became independent in 1947.,TEMPORAL
46,15 + 27 = 42.,NUMERIC
