id,prompt,llama_response,qwen_response,mistral_response,agreement_score
1,Example prompt 1,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.288
2,Example prompt 2,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.858
3,Example prompt 3,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.862
4,Example prompt 4,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.624
5,Example prompt 5,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.765
6,Example prompt 6,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.691
7,Example prompt 7,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.975
8,Example prompt 8,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.306
9,Example prompt 9,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.519
10,Example prompt 10,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.509
11,Example prompt 11,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.457
12,Example prompt 12,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.371
13,Example prompt 13,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.963
14,Example prompt 14,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.47
15,Example prompt 15,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.762
16,Example prompt 16,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.472
17,Example prompt 17,Water boils at 100°C.,Different answer,Alternative response,0.197
18,Example prompt 18,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.983
19,Example prompt 19,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.675
20,Example prompt 20,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.533
21,Example prompt 21,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.945
22,Example prompt 22,Water boils at 100°C.,Different answer,Alternative response,0.107
23,Example prompt 23,The Earth orbits the Sun.,Different answer,Alternative response,0.041
24,Example prompt 24,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.501
25,Example prompt 25,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.414
26,Example prompt 26,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.919
27,Example prompt 27,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.926
28,Example prompt 28,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.837
29,Example prompt 29,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.99
30,Example prompt 30,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.522
31,Example prompt 31,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.546
32,Example prompt 32,Paris is the capital of France.,Different answer,Alternative response,0.05
33,Example prompt 33,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.814
34,Example prompt 34,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.678
35,Example prompt 35,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.904
36,Example prompt 36,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.862
37,Example prompt 37,The Earth orbits the Sun.,Different answer,Alternative response,0.024
38,Example prompt 38,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.276
39,Example prompt 39,Water boils at 100°C.,Different answer,Alternative response,0.121
40,Example prompt 40,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.718
41,Example prompt 41,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.282
42,Example prompt 42,The Earth orbits the Sun.,Different answer,Alternative response,0.154
43,Example prompt 43,The Earth orbits the Sun.,The Earth orbits the Sun.,Alternative response,0.262
44,Example prompt 44,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.801
45,Example prompt 45,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.56
46,Example prompt 46,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.308
47,Example prompt 47,The Earth orbits the Sun.,Different answer,Alternative response,0.034
48,Example prompt 48,Paris is the capital of France.,Different answer,Alternative response,0.067
49,Example prompt 49,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.302
50,Example prompt 50,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.228
51,Example prompt 51,Water boils at 100°C.,Water boils at 100°C.,Alternative response,0.317
52,Example prompt 52,Paris is the capital of France.,Paris is the capital of France.,Alternative response,0.277
53,Example prompt 53,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.742
54,Example prompt 54,The Earth orbits the Sun.,The Earth orbits the Sun.,The Earth orbits the Sun.,0.5
55,Example prompt 55,Water boils at 100°C.,Different answer,Alternative response,0.111
56,Example prompt 56,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.824
57,Example prompt 57,Water boils at 100°C.,Water boils at 100°C.,Water boils at 100°C.,0.995
58,Example prompt 58,Paris is the capital of France.,Different answer,Alternative response,0.032
59,Example prompt 59,Water boils at 100°C.,Different answer,Alternative response,0.033
60,Example prompt 60,Paris is the capital of France.,Different answer,Alternative response,0.113
61,Example prompt 61,Paris is the capital of France.,Paris is the capital of France.,Paris is the capital of France.,0.892
