id,response,atomic_claims
1,India discovered a satellite in 1905 and the event influenced modern science.,"[""India discovered a satellite."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
2,NASA developed relativity in 1969 and the event influenced modern science.,"[""NASA developed relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
3,Google created a framework in 1969 and the event influenced modern science.,"[""Google created a framework."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
4,Google launched gravity in 2020 and the event influenced modern science.,"[""Google launched gravity."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
5,WHO created relativity in 1928 and the event influenced modern science.,"[""WHO created relativity."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
6,Newton discovered a vaccine in 1905 and the event influenced modern science.,"[""Newton discovered a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
7,Newton announced a vaccine in 2020 and the event influenced modern science.,"[""Newton announced a vaccine."", ""The event occurred in 2020."", ""The event influenced modern science.""]"
8,Newton created a framework in 2024 and the event influenced modern science.,"[""Newton created a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
9,Newton launched a vaccine in 2024 and the event influenced modern science.,"[""Newton launched a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
10,Einstein created a satellite in 1969 and the event influenced modern science.,"[""Einstein created a satellite."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
11,Einstein created relativity in 1969 and the event influenced modern science.,"[""Einstein created relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
12,India developed a framework in 2024 and the event influenced modern science.,"[""India developed a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
13,Newton announced a vaccine in 1928 and the event influenced modern science.,"[""Newton announced a vaccine."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
14,Einstein discovered relativity in 2024 and the event influenced modern science.,"[""Einstein discovered relativity."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
15,NASA created a vaccine in 2024 and the event influenced modern science.,"[""NASA created a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
16,Einstein created a framework in 2024 and the event influenced modern science.,"[""Einstein created a framework."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
17,India launched a satellite in 1947 and the event influenced modern science.,"[""India launched a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
18,Einstein discovered relativity in 1969 and the event influenced modern science.,"[""Einstein discovered relativity."", ""The event occurred in 1969."", ""The event influenced modern science.""]"
19,WHO developed a vaccine in 2024 and the event influenced modern science.,"[""WHO developed a vaccine."", ""The event occurred in 2024."", ""The event influenced modern science.""]"
20,India created a satellite in 1928 and the event influenced modern science.,"[""India created a satellite."", ""The event occurred in 1928."", ""The event influenced modern science.""]"
21,Newton launched a vaccine in 1905 and the event influenced modern science.,"[""Newton launched a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
22,NASA discovered a satellite in 1947 and the event influenced modern science.,"[""NASA discovered a satellite."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
23,India announced relativity in 1947 and the event influenced modern science.,"[""India announced relativity."", ""The event occurred in 1947."", ""The event influenced modern science.""]"
24,WHO launched a vaccine in 1905 and the event influenced modern science.,"[""WHO launched a vaccine."", ""The event occurred in 1905."", ""The event influenced modern science.""]"
